CategoryCode;CategoryPath;Language
"14";"Electronics & Technology///Laptops & Computers";"en"
"15";"Electronics & Technology///Gaming Consoles & Video Games";"en"
"16";"Electronics & Technology///Cameras & Photography Equipment";"en"
"17";"Electronics & Technology///Audio Equipment (Headphones, Speakers)";"en"
"18";"Electronics & Technology///TVs & Home Entertainment";"en"
"19";"Electronics & Technology///Smartwatches & Wearables";"en"
"20";"Electronics & Technology///Computer Parts & Accessories";"en"
"21";"Home & Furniture///Living Room Furniture";"en"
"22";"Home & Furniture///Bedroom Sets";"en"
"23";"Home & Furniture///Dining Sets";"en"
"24";"Home & Furniture///Office Furniture";"en"
"25";"Home & Furniture///Outdoor Furniture";"en"
"26";"Home & Furniture///Home Appliances";"en"
"27";"Home & Furniture///Kitchen Equipment";"en"
"28";"Home & Furniture///Light Fixtures";"en"
"29";"Home & Furniture///Rugs & Carpets";"en"
"31";"Books & Media///Books";"en"
"32";"Books & Media///Textbooks";"en"
"33";"Books & Media///Vinyl Records";"en"
"34";"Books & Media///CDs & DVDs";"en"
"35";"Books & Media///Comic Books";"en"
"36";"Books & Media///Magazines";"en"
"37";"Books & Media///Collectible Publications";"en"
"38";"Books & Media///Educational Materials";"en"
"39";"Vehicles & Transportation///Motorcycles";"en"
"40";"Vehicles & Transportation///Bicycles";"en"
"41";"Vehicles & Transportation///Auto Parts";"en"
"42";"Vehicles & Transportation///Car Electronics";"en"
"43";"Vehicles & Transportation///Tires & Wheels";"en"
"44";"Vehicles & Transportation///Marine Equipment";"en"
"45";"Vehicles & Transportation///Vehicle Accessories";"en"
"46";"Fashion & Accessories///Designer Clothing";"en"
"47";"Fashion & Accessories///Luxury Bags";"en"
"48";"Fashion & Accessories///Watches";"en"
"49";"Fashion & Accessories///Jewelry";"en"
"50";"Fashion & Accessories///Shoes";"en"
"51";"Fashion & Accessories///Vintage Clothing";"en"
"52";"Fashion & Accessories///Accessories";"en"
"53";"Fashion & Accessories///Designer Sunglasses";"en"
"54";"Sports & Fitness///Exercise Equipment";"en"
"55";"Sports & Fitness///Sports Gear";"en"
"56";"Sports & Fitness///Camping Equipment";"en"
"57";"Sports & Fitness///Bicycles & Accessories";"en"
"58";"Sports & Fitness///Golf Equipment";"en"
"59";"Sports & Fitness///Fitness Trackers";"en"
"60";"Sports & Fitness///Gym Equipment";"en"
"61";"Sports & Fitness///Water Sports Equipment";"en"
"62";"Musical Instruments///Guitars";"en"
"63";"Musical Instruments///Pianos & Keyboards";"en"
"64";"Musical Instruments///Drums & Percussion";"en"
"65";"Musical Instruments///DJ Equipment";"en"
"66";"Musical Instruments///Studio Equipment";"en"
"67";"Musical Instruments///Wind Instruments";"en"
"68";"Musical Instruments///String Instruments";"en"
"69";"Musical Instruments///Music Accessories";"en"
"70";"Kids & Baby///Toys & Games";"en"
"71";"Kids & Baby///Baby Gear";"en"
"72";"Kids & Baby///Children's Furniture";"en"
"73";"Kids & Baby///School Supplies";"en"
"74";"Kids & Baby///Kids' Electronics";"en"
"75";"Kids & Baby///Baby Clothes";"en"
"76";"Kids & Baby///Strollers & Car Seats";"en"
"77";"Kids & Baby///Educational Materials";"en"
"78";"Tools & Industrial///Power Tools";"en"
"79";"Tools & Industrial///Hand Tools";"en"
"80";"Tools & Industrial///Construction Equipment";"en"
"81";"Tools & Industrial///Workshop Equipment";"en"
"82";"Tools & Industrial///Garden Tools";"en"
"83";"Tools & Industrial///Industrial Machinery";"en"
"84";"Tools & Industrial///Safety Equipment";"en"
"85";"Tools & Industrial///Testing Equipment";"en"
"86";"Collectibles & Art///Antiques";"en"
"87";"Collectibles & Art///Art Pieces";"en"
"88";"Collectibles & Art///Stamps";"en"
"89";"Collectibles & Art///Coins";"en"
"90";"Collectibles & Art///Trading Cards";"en"
"91";"Collectibles & Art///Memorabilia";"en"
"92";"Collectibles & Art///Vintage Items";"en"
"93";"Collectibles & Art///Limited Edition Items";"en"
"745";"Office Supplies///Paper & Stationery";"en"
"746";"Office Supplies///Printers & Accessories";"en"
"747";"Office Supplies///Office Furniture";"en"
"748";"Office Supplies///Ink & Toner";"en"
"749";"Office Supplies///Pantry & Breakroom Items";"en"
"750";"Office Supplies///Cleaning Products";"en"
"751";"Building Materials & Tools///Cement";"en"
"752";"Building Materials & Tools///Bricks & Blocks";"en"
"753";"Building Materials & Tools///Steel & Metal";"en"
"754";"Building Materials & Tools///Paint & Adhesives";"en"
"755";"Building Materials & Tools///Plumbing Supplies";"en"
"756";"Building Materials & Tools///Doors & Windows";"en"
"757";"Building Materials & Tools///Tools & Hardware";"en"
"758";"Electrical & Lighting///Wires & Cables";"en"
"759";"Electrical & Lighting///Switches & Plugs";"en"
"760";"Electrical & Lighting///Indoor & Outdoor Lights";"en"
"761";"Electrical & Lighting///Batteries & Chargers";"en"
"762";"Electrical & Lighting///Fans & Ventilation";"en"
"763";"Packaging & Shipping///Boxes & Cartons";"en"
"764";"Packaging & Shipping///Tape & Wraps";"en"
"765";"Packaging & Shipping///Bubble Wrap & Fillers";"en"
"766";"Packaging & Shipping///Labels & Stickers";"en"
"767";"Packaging & Shipping///Pallets & Containers";"en"
"768";"Safety Gear & PPE///Helmets & Headgear";"en"
"769";"Safety Gear & PPE///Gloves";"en"
"770";"Safety Gear & PPE///Safety Glasses";"en"
"771";"Safety Gear & PPE///Work Boots";"en"
"772";"Safety Gear & PPE///Masks & Respirators";"en"
"773";"Safety Gear & PPE///Fire Safety & First Aid";"en"
"781";"Restaurant & Hotel Supplies///Disposable Items";"en"
"782";"Restaurant & Hotel Supplies///Kitchen Equipment";"en"
"783";"Restaurant & Hotel Supplies///Cookware & Tools";"en"
"784";"Restaurant & Hotel Supplies///Food Storage";"en"
"785";"Restaurant & Hotel Supplies///Tableware & Serving";"en"
"786";"Restaurant & Hotel Supplies///Cleaning & Hygiene";"en"
"787";"Industrial & Workshop Supplies///Lubricants & Fluids";"en"
"788";"Industrial & Workshop Supplies///Welding & Repair Tools";"en"
"789";"Industrial & Workshop Supplies///Compressors & Pumps";"en"
"790";"Industrial & Workshop Supplies///Ladders & Platforms";"en"
"791";"Industrial & Workshop Supplies///Tool Kits & Storage";"en"
"792";"Auto & Workshop Needs///Car Batteries & Tires";"en"
"793";"Auto & Workshop Needs///Engine Oils & Fluids";"en"
"794";"Auto & Workshop Needs///Car Cleaning Products";"en"
"795";"Auto & Workshop Needs///Spare Parts";"en"
"796";"Auto & Workshop Needs///Tools & Lifts";"en"
"797";"Cleaning & Maintenance///Floor & Surface Cleaners";"en"
"798";"Cleaning & Maintenance///Mops";"en"
"799";"Cleaning & Maintenance///Brooms & Buckets";"en"
"800";"Cleaning & Maintenance///Trash Bins & Bags";"en"
"801";"Cleaning & Maintenance///Air Fresheners";"en"
"802";"Cleaning & Maintenance///Bathroom Supplies";"en"
"803";"IT & Electronics///Laptops & Screens";"en"
"804";"IT & Electronics///Keyboards & Mice";"en"
"805";"IT & Electronics///Routers & Cables";"en"
"806";"IT & Electronics///Projectors & Accessories";"en"
"807";"IT & Electronics///CCTV & Security";"en"
"808";"Retail & Shop Supplies///Display Racks";"en"
"809";"Retail & Shop Supplies///Shopping Carts";"en"
"810";"Retail & Shop Supplies/// POS Systems";"en"
"811";"Retail & Shop Supplies///Labeling & Price Tags";"en"
"812";"Clinic & Medical Supplies///Gloves & Masks";"en"
"813";"Clinic & Medical Supplies/// Sanitizers & Cleaners";"en"
"814";"Clinic & Medical Supplies/// Basic Medical Tools";"en"
"815";"Clinic & Medical Supplies///Uniforms & Scrubs";"en"
"816";"Clinic & Medical Supplies/// Beds & Exam Tables";"en"
"292";"Paintings///Figurative / Portrait";"en"
"293";"Paintings///Landscape & Nature";"en"
"294";"Paintings///Islamic / Cultural";"en"
"295";"Paintings///Minimalist / Geometric";"en"
"296";"Paintings///Mixed Media";"en"
"297";"Paintings///Expressionist";"en"
"298";"Paintings///Still Life";"en"
"299";"Paintings///Large Format";"en"
"300";"Paintings///Miniature Paintings";"en"
"301";"Paintings///Arabic Calligraphy";"en"
"302";"Calligraphy///Modern Calligraphy";"en"
"303";"Calligraphy///Islamic Verses";"en"
"304";"Calligraphy///Contemporary Lettering";"en"
"305";"Calligraphy///Hand-Engraved Calligraphy";"en"
"306";"Calligraphy///Decorative Calligraphy Panels";"en"
"307";"Calligraphy///3D Calligraphy Art";"en"
"308";"Calligraphy///Limited Edition Calligraphy Prints";"en"
"309";"Calligraphy///Canvas Prints";"en"
"310";"Prints///Fine Art Prints";"en"
"311";"Prints///Limited Edition Prints";"en"
"312";"Prints///Poster Prints";"en"
"313";"Prints///Framed Prints";"en"
"314";"Prints///Digital Illustration Prints";"en"
"315";"Prints///Typography & Quote Prints";"en"
"316";"Prints///Photography Prints";"en"
"317";"Prints///Black & White";"en"
"318";"Photography///Urban & Street Life";"en"
"319";"Photography///Portraits & People";"en"
"320";"Photography///Landscape & Nature";"en"
"321";"Photography///Architecture & Heritage";"en"
"322";"Photography///Conceptual / Fine Art Photography";"en"
"323";"Photography///Cultural Events & Moments";"en"
"324";"Photography///Aerial / Drone Photography";"en"
"325";"Sculpture///Wood Carving";"en"
"326";"Sculpture///Stone / Marble";"en"
"327";"Sculpture///Metal / Bronze";"en"
"328";"Sculpture///Clay / Ceramic";"en"
"329";"Sculpture///Mixed Material Sculptures";"en"
"330";"Sculpture///Contemporary Installations";"en"
"331";"Sculpture///Mini Sculptures";"en"
"332";"Sculpture///Wall-Mounted Sculptures";"en"
"333";"Sculpture///Floor or Garden Sculptures";"en"
"334";"Drawings///Pencil / Graphite Drawings";"en"
"335";"Drawings///Ink & Pen Work";"en"
"336";"Drawings///Charcoal Sketches";"en"
"337";"Drawings///Colored Pencil / Pastel Drawings";"en"
"338";"Drawings///Minimal Line Art";"en"
"339";"Drawings///Illustration-Style Drawings";"en"
"340";"Drawings///Figure Studies & Anatomy";"en"
"341";"Drawings///Abstract Sketches";"en"
"342";"Handicraft///Embroidered Wall Art";"en"
"343";"Handicraft///Hand-Painted Ceramics";"en"
"344";"Handicraft///Mosaic & Tile-Inspired Art";"en"
"345";"Handicraft///Woven Wall Hangings";"en"
"346";"Handicraft///Handmade Art Frames";"en"
"347";"Handicraft///Painted Pottery";"en"
"348";"Handicraft///Wooden Calligraphy Decor";"en"
"349";"Handicraft///Recycled Art & Eco Craft";"en"
"350";"Handicraft///Heritage Craft Inspired";"en"
"886";"Paintings///Abstract";"en"
"887";"Calligraphy///Arabic Calligraphy";"en"
"888";"Prints///Canvas Prints";"en"
"889";"Photography///Black & White";"en"
"893";"Plants & Flowers///Fresh Flowers";"en"
"897";"Plants & Flowers///Potted Plants";"en"
"902";"Plants & Flowers///Gardening Supplies";"en"
"906";"Plants & Flowers///Seeds & Bulbs";"en"
"907";"Plants & Flowers///Artificial Plants & Flowers";"en"
"908";"Plants & Flowers///Gifts & Accessories";"en"
"";"Electronics & Digital Products///Electronics";"en"
"960";"Electronics & Digital///Computer and Accessories";"en"
"961";"Electronics & Digital///Gadget and Accessories";"en"
"422";"Electronics & Digital///Digital Products///Ebooks";"en"
"423";"Electronics & Digital///Digital Products///Software";"en"
"424";"Electronics & Digital///Digital Products///Membership";"en"
"425";"Electronics & Digital///Digital Products///Audio books";"en"
"426";"Electronics & Digital///Gadget and Accessories///Mobile Phones";"en"
"427";"Electronics & Digital///Computer and Accessories///Computers";"en"
"428";"Electronics & Digital///Gadget and Accessories///Tablets";"en"
"429";"Electronics & Digital///Electronics and Appliances///Security & Surveillance";"en"
"430";"Electronics & Digital///Gadget and Accessories///Wearables";"en"
"431";"Electronics & Digital///Electronics and Appliances///Television";"en"
"433";"Electronics & Digital///Electronics and Appliances///E-scooter";"en"
"434";"Electronics & Digital///Gaming///X-box";"en"
"435";"Electronics & Digital///Gaming///Playstation";"en"
"436";"Electronics & Digital///Gaming///Nintendo";"en"
"437";"Electronics & Digital///Computer and Accessories///Gaming PC";"en"
"438";"Electronics & Digital///Gaming///Accessories";"en"
"443";"Fashion & Jewelry///Men///Men's Clothing";"en"
"444";"Fashion & Jewelry///Men///Men's Shoes";"en"
"445";"Fashion & Jewelry///Men///Accessories";"en"
"446";"Fashion & Jewelry///Women///Women's Clothing";"en"
"447";"Fashion & Jewelry///Women///Hand Bag";"en"
"448";"Fashion & Jewelry///Women///Women's Shoes";"en"
"449";"Fashion & Jewelry///Women///Wedding";"en"
"450";"Fashion & Jewelry///Women///Traditional Costume";"en"
"451";"Fashion & Jewelry///Women///Accessories";"en"
"452";"Fashion & Jewelry///Kids///Kids' Clothing";"en"
"453";"Fashion & Jewelry///Kids///Kids' Shoes";"en"
"454";"Fashion & Jewelry///Jewelry///Diamond";"en"
"455";"Fashion & Jewelry///Jewelry///Gold";"en"
"456";"Fashion & Jewelry///Jewelry///Silver";"en"
"457";"Fashion & Jewelry///Jewelry///Accessories";"en"
"460";"Sports & Hobbies///Sports///Camping";"en"
"461";"Sports & Hobbies///Sports///Beach & Pool";"en"
"462";"Sports & Hobbies///Sports///Sports";"en"
"463";"Sports & Hobbies///Sports///Pets";"en"
"464";"Sports & Hobbies///Sports///Gym Equipment";"en"
"465";"Sports & Hobbies///Sports///Biking & E-Bikes";"en"
"466";"Sports & Hobbies///Sports///Athletic Fashion";"en"
"467";"Sports & Hobbies///Sports///DIY";"en"
"468";"Sports & Hobbies///Sports///Fishing";"en"
"469";"Sports & Hobbies///Sports///Free Time";"en"
"470";"Sports & Hobbies///Toys///Plushies";"en"
"471";"Sports & Hobbies///Toys///Learning Sets";"en"
"472";"Sports & Hobbies///Toys///Remote Control Toys";"en"
"476";"Health & Beauty///Health///Food Supplements";"en"
"477";"Health & Beauty///Health///Diet meals";"en"
"478";"Health & Beauty///Beauty///Perfumes";"en"
"479";"Health & Beauty///Health///Pharmaceuticals";"en"
"480";"Health & Beauty///Beauty///Hair Care";"en"
"481";"Health & Beauty///Beauty///Personal Grooming";"en"
"482";"Health & Beauty///Beauty///Make up";"en"
"483";"Health & Beauty///Health///Medical Supplies";"en"
"487";"Home & Gardening///Home///Tools";"en"
"488";"Home & Gardening///Home///Furnitures";"en"
"489";"Home & Gardening///Home///Lighting";"en"
"490";"Home & Gardening///Home///Cleaning Products";"en"
"491";"Home & Gardening///Home///Kitchen Items";"en"
"492";"Home & Gardening///Home///Linen Items";"en"
"493";"Home & Gardening///Home///Security";"en"
"494";"Home & Gardening///Home///Bathroom Equipment";"en"
"495";"Home & Gardening///Home///Office Equipment";"en"
"496";"Home & Gardening///Home///Automations";"en"
"497";"Home & Gardening///Gardening///Plants & Seeds";"en"
"498";"Home & Gardening///Gardening///Tools";"en"
"499";"Home & Gardening///Home///Lawn Care";"en"
"500";"Home & Gardening///Gardening///Furnitures";"en"
"501";"Home & Gardening///Gardening///Lighting";"en"
"502";"Home & Gardening///Gardening///Bathroom Equipment";"en"
"503";"Home & Gardening///Gardening///Office Equipment";"en"
"507";"Fresh & Local///Homemade Meals///Main Dish";"en"
"508";"Fresh & Local///Homemade Meals///Classic Sweets";"en"
"509";"Fresh & Local///Fruits from farms///Dates";"en"
"510";"Fresh & Local///Fruits from farms///Honey";"en"
"511";"Fresh & Local///Fruits from farms///Ghee";"en"
"512";"Fresh & Local///Nuts & Spices///Mixed Nuts";"en"
"513";"Fresh & Local///Nuts & Spices///Spices";"en"
"516";"Supermarket///Wholesale & Bulk///Dairy";"en"
"517";"Supermarket///Wholesale & Bulk///Beverages";"en"
"518";"Supermarket///Wholesale & Bulk///Cleaning Products";"en"
"519";"Supermarket///Retail///Fruits & Vegetables";"en"
"520";"Supermarket///Retail///Cheese & Cold Cuts";"en"
"521";"Supermarket///Retail///Breakfast & Snacks";"en"
"522";"Supermarket///Retail///Packaged Products";"en"
"523";"Supermarket///Retail///Bakery";"en"
"524";"Supermarket///Retail///Dairy";"en"
"525";"Supermarket///Retail///Beverages";"en"
"526";"Supermarket///Retail///Cleaning Products";"en"
"527";"Supermarket///Retail///Household Products";"en"
"528";"Supermarket///Retail///Care And Hygiene";"en"
"529";"Supermarket///Retail///Clothing";"en"
"531";"Supermarket///Retail///Pet Products";"en"
"532";"Supermarket///Retail///Seasonal Products";"en"
"535";"Automotive///Car Parts///Engine Parts";"en"
"536";"Automotive///Car Parts///Brake Systems";"en"
"537";"Automotive///Car Parts///Transmission Parts";"en"
"538";"Automotive///Car Parts///Electrical Parts";"en"
"539";"Automotive///Car Parts///Filters & Fluids";"en"
"540";"Automotive///Car Parts///Body Parts";"en"
"541";"Automotive///Auto Accessories///Care Products";"en"
"542";"Automotive///Auto Accessories///Tools & Equipment";"en"
"543";"Automotive///Auto Accessories///Car Electronics";"en"
"544";"Automotive///Auto Accessories///Interior Accessories";"en"
"545";"Automotive///Auto Accessories///Exterior Accessories";"en"
"546";"Automotive///Auto Accessories///Maintenance Items";"en"
"547";"Electronics & Digital///Digital Products///E-Learning";"en"
"549";"Fresh & Local///Fruits from farms///Fruites";"en"
"894";"Plants & Flowers///Fresh Flowers///Bouquets";"en"
"895";"Plants & Flowers///Fresh Flowers///Single Stems";"en"
"896";"Plants & Flowers///Fresh Flowers///Flower Arrangements";"en"
"898";"Plants & Flowers///Potted Plants///Indoor Plants";"en"
"900";"Plants & Flowers///Potted Plants///Outdoor Plants";"en"
"901";"Plants & Flowers///Potted Plants///Succulents & Cacti";"en"
"903";"Plants & Flowers///Gardening Supplies///Tools & Equipment";"en"
"904";"Plants & Flowers///Gardening Supplies///Soils & Fertilizers";"en"
"905";"Plants & Flowers///Gardening Supplies///Pots & Planters";"en"
"962";"Health & Beauty///Beauty///Facial Care";"en"
"963";"Health & Beauty///Beauty///Body Care";"en"
"964";"Health & Beauty///Health///Medical Tools";"en"
