CategoryCode;CategoryPath;Language;CategoryId;DateAdded;Status;Position;DetailedImageURL;Description;ProductDetailsView;UsergroupIds;PageTitle;MetaDescription;MetaKeywords;CategoryUrl;SeoName;Store;Discussion
"413";"Sports & Hobbies";"en";"413";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"";"https://is2or.com/sports-and-hobbies/";"sports-and-hobbies";"";"D"
"411";"Electronics & Digital Products";"en";"411";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/electronics/";"electronics";"";"D"
"415";"Home & Gardening";"en";"415";"21 Jan 2025 00:00:00";"A";"50";"";"";"default";"0";"";"";"";"https://is2or.com/home-and-gradening/";"home-and-gradening";"";"D"
"268";"Uncategorized";"en";"280";"";"D";"0";"";"";"";"0";"";"";"";"https://is2or.com/uncategorized-en/";"uncategorized-en";"";""
"417";"Supermarket";"en";"417";"21 Jan 2025 00:00:00";"A";"60";"";"";"default";"0";"";"";"";"https://is2or.com/supermarket/";"supermarket";"";"D"
"414";"Heath & Beauty";"en";"414";"21 Jan 2025 00:00:00";"A";"40";"";"";"default";"0";"";"";"";"https://is2or.com/heath-and-beauty/";"heath-and-beauty";"";"D"
"264";"Marketplace fees";"en";"264";"";"H";"90";"";"";"default";"0";"";"";"";"https://is2or.com/marketplace-fees/";"marketplace-fees";"";""
"412";"Fashion & Jewelry";"en";"412";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/";"fashion-and-jewelry";"";"D"
"418";"Automotive";"en";"418";"21 Jan 2025 00:00:00";"A";"70";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/";"automotive";"";"D"
"";"Retail";"en";"550";"29 Jan 2025 04:16:01";"A";"100";"";"";"";"0";"";"";"";"https://is2or.com/retail/";"retail";"";"D"
"416";"Fresh & Local";"en";"416";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/fresh-and-local/";"fresh-and-local";"";"D"
"439";"Fashion & Jewelry///Man";"en";"439";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/man/";"man";"";"D"
"504";"Fresh & Local///Homemade Meals";"en";"504";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/fresh-and-local/homemade-meals/";"homemade-meals";"";"D"
"459";"Sports & Hobbies///Toys";"en";"459";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/sports-and-hobbies/toys/";"toys";"";"D"
"475";"Heath & Beauty///Beauty";"en";"475";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/heath-and-beauty/beauty/";"beauty";"";"D"
"484";"Home & Gardening///Home";"en";"484";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/home-and-gradening/home/";"home";"";"D"
"485";"Home & Gardening///Gardenin";"en";"485";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/home-and-gradening/gardenin/";"gardenin";"";"D"
"442";"Fashion & Jewelry///Jewllery";"en";"442";"21 Jan 2025 00:00:00";"A";"40";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/jewllery/";"jewllery";"";"D"
"419";"Electronics & Digital Products///Digital Products";"en";"419";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/electronics/digital-products/";"digital-products";"";"D"
"474";"Heath & Beauty///Health";"en";"474";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/heath-and-beauty/health/";"health";"";"D"
"533";"Automotive///Car Parts";"en";"533";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/car-parts/";"car-parts";"";"D"
"441";"Fashion & Jewelry///Kids";"en";"441";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/kids/";"kids";"";"D"
"505";"Fresh & Local///Fruits from farms";"en";"505";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/fresh-and-local/fruits-from-farms/";"fruits-from-farms";"";"D"
"514";"Supermarket///Wholesale & Bulk";"en";"514";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/supermarket/wholesale-and-bulk/";"wholesale-and-bulk";"";"D"
"420";"Electronics & Digital Products///Electronics";"en";"420";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/electronics/electronics/";"electronics";"";"D"
"515";"Supermarket///Retail";"en";"515";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/supermarket/retail/";"retail";"";"D"
"458";"Sports & Hobbies///Sports";"en";"458";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/sports-and-hobbies/sports/";"sports";"";"D"
"440";"Fashion & Jewelry///Woman";"en";"440";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/woman/";"woman";"";"D"
"506";"Fresh & Local///Nuts & Spices";"en";"506";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"";"https://is2or.com/fresh-and-local/nuts-and-spices/";"nuts-and-spices";"";"D"
"421";"Electronics & Digital Products///Gaming";"en";"421";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"";"https://is2or.com/electronics/gaming/";"gaming";"";"D"
"506";"Fresh & Local///Nuts & Spices";"en";"506";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"";"https://is2or.com/fresh-and-local/nuts-and-spices/";"nuts-and-spices";"";"D"
"462";"Sports & Hobbies///Sports///Sports";"en";"462";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"";"https://is2or.com/sports-and-hobbies/sports/sports/";"sports";"";"D"
"435";"Electronics & Digital Products///Gaming///Playstation";"en";"435";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/electronics/gaming/playstation/";"playstation";"";"D"
"436";"Electronics & Digital Products///Gaming///Nintendo";"en";"436";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"";"https://is2or.com/electronics/gaming/nintendo/";"nintendo";"";"D"
"437";"Electronics & Digital Products///Gaming///PC gaming";"en";"437";"21 Jan 2025 00:00:00";"A";"40";"";"";"default";"0";"";"";"";"https://is2or.com/electronics/gaming/pc-gaming/";"pc-gaming";"";"D"
"438";"Electronics & Digital Products///Gaming///Accessories";"en";"438";"21 Jan 2025 00:00:00";"A";"50";"";"";"default";"0";"";"";"";"https://is2or.com/electronics/gaming/accessories/";"accessories";"";"D"
"443";"Fashion & Jewelry///Man///Clothes";"en";"443";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/man/clothes/";"clothes";"";"D"
"444";"Fashion & Jewelry///Man///Shoes";"en";"444";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/man/shoes/";"shoes";"";"D"
"445";"Fashion & Jewelry///Man///Accessories";"en";"445";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/man/accessories/";"accessories";"";"D"
"446";"Fashion & Jewelry///Woman///Clothes";"en";"446";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/woman/clothes/";"clothes";"";"D"
"447";"Fashion & Jewelry///Woman///Hand Bag";"en";"447";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/woman/hand-bag/";"hand-bag";"";"D"
"448";"Fashion & Jewelry///Woman///Shoes";"en";"448";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/woman/shoes/";"shoes";"";"D"
"449";"Fashion & Jewelry///Woman///Wedding";"en";"449";"21 Jan 2025 00:00:00";"A";"40";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/woman/wedding/";"wedding";"";"D"
"450";"Fashion & Jewelry///Woman///Traditional Costume";"en";"450";"21 Jan 2025 00:00:00";"A";"50";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/woman/traditional-costume/";"traditional-costume";"";"D"
"451";"Fashion & Jewelry///Woman///Accessories";"en";"451";"21 Jan 2025 00:00:00";"A";"60";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/woman/accessories/";"accessories";"";"D"
"452";"Fashion & Jewelry///Kids///Clothes";"en";"452";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/kids/clothes/";"clothes";"";"D"
"453";"Fashion & Jewelry///Kids///Shoes";"en";"453";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/kids/shoes/";"shoes";"";"D"
"454";"Fashion & Jewelry///Jewllery///Diamond";"en";"454";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/jewllery/diamond/";"diamond";"";"D"
"455";"Fashion & Jewelry///Jewllery///Gold";"en";"455";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/fashion-and-jewelry/jewllery/gold/";"gold";"";"D"
"541";"Automotive///Auto Accessories///Care Products";"en";"541";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/auto-accessories/care-products/";"care-products";"";"D"
"532";"Supermarket///Retail///Seasonal Products";"en";"532";"21 Jan 2025 00:00:00";"A";"140";"";"";"default";"0";"";"";"";"https://is2or.com/supermarket/retail/seasonal-products/";"seasonal-products";"";"D"
"535";"Automotive///Car Parts///Engine Parts";"en";"535";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/car-parts/engine-parts/";"engine-parts";"";"D"
"536";"Automotive///Car Parts///Brake Systems";"en";"536";"21 Jan 2025 00:00:00";"A";"20";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/car-parts/brake-systems/";"brake-systems";"";"D"
"537";"Automotive///Car Parts///Transmission Parts";"en";"537";"21 Jan 2025 00:00:00";"A";"30";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/car-parts/transmission-parts/";"transmission-parts";"";"D"
"538";"Automotive///Car Parts///Electrical Parts";"en";"538";"21 Jan 2025 00:00:00";"A";"40";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/car-parts/electrical-parts/";"electrical-parts";"";"D"
"539";"Automotive///Car Parts///Filters & Fluids";"en";"539";"21 Jan 2025 00:00:00";"A";"50";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/car-parts/filters-and-fluids/";"filters-and-fluids";"";"D"
"540";"Automotive///Car Parts///Body Parts";"en";"540";"21 Jan 2025 00:00:00";"A";"60";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/car-parts/body-parts/";"body-parts";"";"D"
"546";"Automotive///Auto Accessories///Maintenance Items";"en";"546";"21 Jan 2025 00:00:00";"A";"60";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/auto-accessories/maintenance-items/";"maintenance-items";"";"D"
"545";"Automotive///Auto Accessories///Exterior Accessories";"en";"545";"21 Jan 2025 00:00:00";"A";"50";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/auto-accessories/exterior-accessories/";"exterior-accessories";"";"D"
"544";"Automotive///Auto Accessories///Interior Accessories";"en";"544";"21 Jan 2025 00:00:00";"A";"40";"";"";"default";"0";"";"";"";"https://is2or.com/automotive/auto-accessories/interior-accessories/";"interior-accessories";"";"D"
"496";"Home & Gardening///Home///Automations";"en";"496";"21 Jan 2025 00:00:00";"A";"110";"";"";"default";"0";"";"";"";"https://is2or.com/home-and-gradening/home/automations/";"automations";"";"D"
"497";"Home & Gardening///Gardenin///Plants & Seeds";"en";"497";"21 Jan 2025 00:00:00";"A";"10";"";"";"default";"0";"";"";"";"https://is2or.com/home-and-gradening/gardenin/plants-and-seeds/";"plants-and-seeds";"";"D"
